,ID,Extension,Highest Education
0,3924,252,"PhD (HRM/Finance), University of Tsukuba, Japan (2007)"
1,4685,343,"PhD (General Management), University of Bologna, Italy (2015)"
2,6563,405,"PhD (Engineering Management), Massey University, Auckland, New Zealand (2023)"
3,5712,255,"PhD (Management Science), NUCES, Lahore (2018)"
4,4629,295,"PhD (Management Science), NUCES, Lahore , Pakistan (2021)"
5,6561,316,"PhD (Management Science), NUCES, Lahore (2022)"
6,5423,408,"PhD (Finance), Massey University, New Zealand (2014)"
7,5559,445,"PhD (Marketing), University of Malaya, Kuala Lumpur (2017)"
8,5427,250,PhD (MAS) University of Udine (2017)
9,6426,242,"Ph.D. in Accounting and Finance, Lincoln University, New Zealand (2020)"
10,9495,409,"PhD (Management Sciences), Asian Institute of Technology (AIT), Thailand (2015)"
11,4483,360,"CPA (Accounting & Finance), ACCA, UK (1988)"
12,4647,258,"MS (Accounting & Finance), NUCES, Lahore (2020)"
13,5517,325,"MBA (Finance), NUCES, Lahore (2016)"
14,5227,444,"MBA, NUCES, Lahore (2016)"
15,6930,354,"MS (Business Analytics),NUCES, Lahore (2024)"
16,5518,349,"MBIT, PU, Lahore (2014)"
17,6115,301,"MBA (AF), NUCES, Lahore (2022)"
18,6709,256,"MS (Business Analytics), NUCES, Lahore (2023)"
19,6565,306,"MBA, NUCES, Lahore (2023)"
20,6664,256,"MS (Business Analytics), NUCES, Lahore (2023)"
21,6812,354,"MBA (Finance), LUMS, Lahore (2012)"
22,6566,306,N/A
23,5713,None,"MBA, Western Michigan University, USA (2009)"
24,6813,324,"MSc (Accounting & Finance), BPP University, UK(2017)"
25,6303,324,"CA, ICAP, Lahore (2017)"
26,6931,353,"M.Phil (Applied Economics) FC College, Lahore (2018)"
27,7016,None,"MBA (General), NUCES, Lahore (2024)"
28,7017,None,"MBA (General), NUCES, Lahore (2024)"
29,6789,301,"BBA, NUCES, Lahore (2023)"
30,7015,None,"MBA (Marketing), NUCES, Lahore (2024)"
31,6964,451,N/A
32,6790,431,"MBA (Marketing), NUCES, Lahore (2023)"
33,6815,431,"MS (Business Analytics), NUCES, Lahore (2023)"
34,6932,353,ACMA (Accounts) - ICMAP (2003)
